Frame,Time (s),Knee Angle (deg),Hip Angle (deg),Feedback
0,0.0,118.3,139.9,
1,0.03,119.5,141.0,
2,0.07,118.9,141.1,
3,0.1,114.5,138.6,
4,0.13,112.3,138.3,
5,0.17,114.4,140.0,
6,0.2,115.5,140.8,
7,0.23,115.5,141.6,
8,0.27,115.5,141.6,
9,0.3,115.5,142.4,
10,0.33,116.3,143.1,
11,0.37,123.8,154.2,
12,0.4,120.4,149.4,
13,0.43,119.1,147.3,
14,0.47,120.4,150.3,
15,0.5,121.1,151.9,
16,0.53,121.1,151.9,
17,0.57,122.2,154.3,
18,0.6,123.7,155.9,
19,0.63,124.2,156.4,
20,0.67,125.6,157.3,
21,0.7,126.5,154.4,
22,0.73,128.4,156.3,
23,0.77,128.9,156.9,
24,0.8,129.9,156.5,
25,0.83,132.4,160.2,
26,0.87,136.5,161.6,
27,0.9,140.2,165.4,
28,0.93,148.4,169.6,
29,0.97,152.6,167.3,
30,1.0,158.1,168.5,
31,1.03,164.6,171.9,
32,1.07,175.9,179.3,
33,1.1,177.0,179.9,
34,1.13,173.9,177.9,
35,1.17,174.9,178.0,
36,1.2,174.8,178.6,
37,1.23,179.5,177.3,
38,1.27,178.4,171.0,
39,1.3,179.0,176.3,
40,1.33,175.2,175.0,
41,1.37,159.9,179.3,
42,1.4,154.9,179.7,
43,1.43,144.7,175.4,
44,1.47,138.2,171.1,
45,1.5,142.6,167.3,
46,1.53,127.5,158.5,
47,1.57,141.6,157.2,
48,1.6,153.6,152.7,
49,1.63,168.2,157.3,
50,1.67,0,0,
51,1.7,173.7,156.1,
52,1.73,172.7,159.0,
53,1.77,175.0,158.6,
54,1.8,175.3,162.9,
55,1.83,177.8,162.6,
56,1.87,179.4,166.2,
57,1.9,175.2,163.9,
58,1.93,174.1,165.4,
59,1.97,174.7,168.1,
60,2.0,176.2,172.7,
61,2.03,177.6,171.3,
62,2.07,175.3,173.6,
63,2.1,171.0,172.1,
64,2.13,174.4,176.9,
65,2.17,170.5,173.2,
66,2.2,169.9,172.6,
67,2.23,0,0,
68,2.27,176.8,174.9,
69,2.3,173.0,175.9,
70,2.33,171.5,175.5,
71,2.37,169.9,174.7,
72,2.4,0,0,
73,2.43,0,0,
74,2.47,0,0,
75,2.5,0,0,
76,2.53,166.4,166.5,
77,2.57,0,0,
78,2.6,0,0,
79,2.63,165.8,166.1,
80,2.67,166.0,166.5,
81,2.7,165.9,171.7,
82,2.73,0,0,
83,2.77,166.5,168.7,
84,2.8,168.6,174.1,
85,2.83,168.2,176.5,
86,2.87,165.1,172.8,
87,2.9,168.2,177.2,
88,2.93,170.7,179.6,
89,2.97,173.3,178.0,
90,3.0,169.4,175.3,
91,3.03,169.5,175.5,
92,3.07,168.1,172.7,
93,3.1,168.2,174.6,
94,3.13,168.4,173.2,
95,3.17,168.3,171.7,
96,3.2,167.8,171.8,
97,3.23,169.1,172.2,
98,3.27,169.2,172.4,
99,3.3,169.3,174.0,
100,3.33,170.9,174.6,
101,3.37,172.9,174.9,
102,3.4,173.0,176.0,
